Time,X,Y,Z,Target_X,Target_Y,Target_Z
102.66,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
102.673,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
102.68,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
102.694,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
102.717,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
102.722,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
102.734,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
102.744,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
103.036,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
103.057,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
103.411,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
103.424,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
103.755,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
103.776,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
104.162,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
104.17,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
104.455,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
104.46,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
104.844,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
104.856,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
105.151,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
105.16,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
105.484,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
105.49,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
105.76,-1.2606448120123597,-1.2999961305054988,0.0749881393687296,-1.3,-1.3,2.0
